[Header]
Data File Name	C:\GCMSsolution\Data\KOM\Huile essentielle\Essential oill.qgm1.QGD
Output Date	01/07/2008
Output Time	03:14:09

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	300
# of Points	9167
Start Time(min)	3.000
End Time(min)	48.830
Ret.Time	Absolute Intensity	Relative Intensity
4.380	69892	2.20
4.385	67321	2.12
4.390	69996	2.20
4.395	67736	2.13
4.400	65834	2.07
4.405	68320	2.15
4.410	68452	2.15
4.415	68503	2.15
4.420	70616	2.22
4.425	65242	2.05
4.430	70081	2.20
4.435	67180	2.11
4.440	68840	2.16
4.445	69564	2.19
4.450	69635	2.19
4.455	70133	2.20
4.460	69375	2.18
4.465	63656	2.00
4.470	70654	2.22
4.475	66194	2.08
4.480	70530	2.22
4.485	68782	2.16
4.490	69222	2.18
4.495	70150	2.20
4.500	68538	2.15
4.505	70043	2.20
4.510	71852	2.26
4.515	68079	2.14
4.520	70470	2.21
4.525	68541	2.15
4.530	70066	2.20
4.535	66855	2.10
4.540	66014	2.07
4.545	69090	2.17
4.550	68289	2.15
4.555	69709	2.19
4.560	68682	2.16
4.565	68270	2.15
4.570	70031	2.20
4.575	69890	2.20
4.580	66558	2.09
4.585	70574	2.22
4.590	67370	2.12
4.595	69477	2.18
4.600	69240	2.18
4.605	70854	2.23
4.610	72285	2.27
4.615	68215	2.14
4.620	67667	2.13
4.625	69829	2.19
4.630	67556	2.12
4.635	70814	2.23
4.640	69170	2.17
4.645	68940	2.17
4.650	67215	2.11
4.655	64664	2.03
4.660	71223	2.24
4.665	68075	2.14
4.670	68025	2.14
4.675	70809	2.23
4.680	66576	2.09
4.685	70718	2.22
4.690	69941	2.20
4.695	71049	2.23
4.700	72044	2.26
4.705	68432	2.15
4.710	70673	2.22
4.715	71111	2.23
4.720	68452	2.15
4.725	68580	2.16
4.730	67356	2.12
4.735	67981	2.14
4.740	69054	2.17
4.745	67361	2.12
4.750	71451	2.25
4.755	66337	2.08
4.760	70322	2.21
4.765	69040	2.17
4.770	68439	2.15
4.775	72817	2.29
4.780	67319	2.12
4.785	66365	2.09
4.790	71169	2.24
4.795	70335	2.21
4.800	72295	2.27
4.805	68929	2.17
4.810	68633	2.16
4.815	68397	2.15
4.820	67253	2.11
4.825	68345	2.15
4.830	70545	2.22
4.835	68189	2.14
4.840	69508	2.18
4.845	68802	2.16
4.850	69564	2.19
4.855	69517	2.18
4.860	66564	2.09
4.865	70523	2.22
4.870	68769	2.16
4.875	69875	2.20
4.880	72393	2.28
4.885	68775	2.16
4.890	72719	2.29
4.895	68938	2.17
4.900	71995	2.26
4.905	72104	2.27
4.910	70850	2.23
4.915	68739	2.16
4.920	70643	2.22
4.925	67863	2.13
4.930	74311	2.34
4.935	69068	2.17
4.940	67485	2.12
4.945	69312	2.18
4.950	67729	2.13
4.955	70994	2.23
4.960	69583	2.19
4.965	66843	2.10
4.970	69032	2.17
4.975	67168	2.11
4.980	69027	2.17
4.985	67453	2.12
4.990	65440	2.06
4.995	66334	2.08
5.000	68501	2.15
5.005	68838	2.16
5.010	70544	2.22
5.015	66345	2.08
5.020	71302	2.24
5.025	69720	2.19
5.030	65374	2.05
5.035	68137	2.14
5.040	68115	2.14
5.045	70185	2.21
5.050	69076	2.17
5.055	67368	2.12
5.060	71704	2.25
5.065	68653	2.16
5.070	67504	2.12
5.075	71443	2.25
5.080	68409	2.15
5.085	70209	2.21
5.090	67361	2.12
5.095	68945	2.17
5.100	70455	2.21
5.105	68131	2.14
5.110	71158	2.24
5.115	68627	2.16
5.120	69908	2.20
5.125	71201	2.24
5.130	66388	2.09
5.135	73090	2.30
5.140	70291	2.21
5.145	69399	2.18
5.150	72521	2.28
5.155	68964	2.17
5.160	69234	2.18
5.165	68413	2.15
5.170	68699	2.16
5.175	70547	2.22
5.180	68533	2.15
5.185	68964	2.17
5.190	70626	2.22
5.195	68251	2.14
5.200	69439	2.18
5.205	71105	2.23
5.210	70329	2.21
5.215	72618	2.28
5.220	68950	2.17
5.225	67826	2.13
5.230	69996	2.20
5.235	68044	2.14
5.240	66233	2.08
5.245	71351	2.24
5.250	67574	2.12
5.255	70823	2.23
5.260	70145	2.20
5.265	65791	2.07
5.270	69241	2.18
5.275	69118	2.17
5.280	67340	2.12
5.285	69145	2.17
5.290	67204	2.11
5.295	71383	2.24
5.300	70754	2.22
5.305	69361	2.18
5.310	69158	2.17
5.315	69333	2.18
5.320	68413	2.15
5.325	65357	2.05
5.330	68675	2.16
5.335	67587	2.12
5.340	67901	2.13
5.345	71193	2.24
5.350	68323	2.15
5.355	70228	2.21
5.360	70097	2.20
5.365	66072	2.08
5.370	69752	2.19
5.375	68680	2.16
5.380	68638	2.16
5.385	69814	2.19
