[Header]
Data File Name	C:\GCMSsolution\Data\KOM\Huile essentielle\Essential oill.qgm1.QGD
Output Date	01/07/2008
Output Time	03:14:09

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	300
# of Points	9167
Start Time(min)	3.000
End Time(min)	48.830
Ret.Time	Absolute Intensity	Relative Intensity
9.065	68796	2.16
9.070	64747	2.03
9.075	69373	2.18
9.080	65671	2.06
9.085	64262	2.02
9.090	68411	2.15
9.095	66845	2.10
9.100	65894	2.07
9.105	68132	2.14
9.110	62788	1.97
9.115	68225	2.14
9.120	65921	2.07
9.125	68817	2.16
9.130	68691	2.16
9.135	69266	2.18
9.140	69181	2.17
9.145	67744	2.13
9.150	66817	2.10
9.155	66325	2.08
9.160	66979	2.10
9.165	66666	2.10
9.170	66867	2.10
9.175	67525	2.12
9.180	67213	2.11
9.185	64651	2.03
9.190	71609	2.25
9.195	67106	2.11
9.200	67835	2.13
9.205	68093	2.14
9.210	68028	2.14
9.215	69471	2.18
9.220	67989	2.14
9.225	68332	2.15
9.230	68571	2.15
9.235	69197	2.17
9.240	68231	2.14
9.245	66307	2.08
9.250	68143	2.14
9.255	66396	2.09
9.260	65950	2.07
9.265	69104	2.17
9.270	70491	2.22
9.275	66888	2.10
9.280	66655	2.09
9.285	65650	2.06
9.290	66340	2.08
9.295	66362	2.09
9.300	63571	2.00
9.305	67239	2.11
9.310	68336	2.15
9.315	65512	2.06
9.320	64199	2.02
9.325	65293	2.05
9.330	70997	2.23
9.335	68383	2.15
9.340	66169	2.08
9.345	65495	2.06
9.350	66728	2.10
9.355	64257	2.02
9.360	64988	2.04
9.365	65759	2.07
9.370	67737	2.13
9.375	67773	2.13
9.380	65658	2.06
9.385	66594	2.09
9.390	63820	2.01
9.395	66392	2.09
9.400	66531	2.09
9.405	64787	2.04
9.410	67159	2.11
9.415	64128	2.02
9.420	66640	2.09
9.425	65143	2.05
9.430	64901	2.04
9.435	64154	2.02
9.440	63968	2.01
9.445	64785	2.04
9.450	67806	2.13
9.455	66624	2.09
9.460	63547	2.00
9.465	64549	2.03
9.470	65030	2.04
9.475	66188	2.08
9.480	62128	1.95
9.485	66566	2.09
9.490	67163	2.11
9.495	68683	2.16
9.500	66707	2.10
9.505	63814	2.01
9.510	69199	2.17
9.515	65866	2.07
9.520	66338	2.08
9.525	67524	2.12
9.530	67629	2.13
9.535	64941	2.04
9.540	67382	2.12
9.545	63235	1.99
9.550	65789	2.07
9.555	66423	2.09
9.560	63512	2.00
9.565	66202	2.08
9.570	64358	2.02
9.575	64551	2.03
9.580	65772	2.07
9.585	63866	2.01
9.590	68342	2.15
9.595	63932	2.01
9.600	64781	2.04
9.605	66982	2.10
9.610	64699	2.03
9.615	65494	2.06
9.620	62807	1.97
9.625	62764	1.97
9.630	66590	2.09
9.635	61913	1.95
9.640	64321	2.02
9.645	63671	2.00
9.650	62096	1.95
9.655	63712	2.00
9.660	64083	2.01
9.665	64005	2.01
9.670	63867	2.01
9.675	63364	1.99
9.680	64593	2.03
9.685	61840	1.94
9.690	63151	1.98
9.695	64716	2.03
9.700	62686	1.97
9.705	60518	1.90
9.710	66692	2.10
9.715	65012	2.04
9.720	67863	2.13
9.725	65718	2.07
9.730	62646	1.97
9.735	64594	2.03
9.740	64435	2.02
9.745	68549	2.15
9.750	67374	2.12
9.755	63283	1.99
9.760	65226	2.05
9.765	62587	1.97
9.770	65424	2.06
9.775	63369	1.99
9.780	60592	1.90
9.785	61061	1.92
9.790	65647	2.06
9.795	62377	1.96
9.800	65192	2.05
9.805	63572	2.00
9.810	66576	2.09
9.815	64286	2.02
9.820	64236	2.02
9.825	65773	2.07
9.830	65128	2.05
9.835	64258	2.02
9.840	64040	2.01
9.845	64707	2.03
9.850	63665	2.00
9.855	63417	1.99
9.860	61853	1.94
9.865	62688	1.97
9.870	61357	1.93
9.875	62072	1.95
9.880	62922	1.98
9.885	65469	2.06
9.890	64746	2.03
9.895	62705	1.97
9.900	65958	2.07
9.905	64599	2.03
9.910	64629	2.03
9.915	63414	1.99
9.920	62415	1.96
9.925	64311	2.02
9.930	65013	2.04
9.935	63736	2.00
9.940	65563	2.06
9.945	65263	2.05
9.950	63341	1.99
9.955	63062	1.98
9.960	65005	2.04
9.965	62703	1.97
9.970	63352	1.99
9.975	61733	1.94
9.980	63692	2.00
9.985	64492	2.03
9.990	64237	2.02
9.995	66299	2.08
10.000	60952	1.92
10.005	62180	1.95
10.010	60148	1.89
10.015	59850	1.88
10.020	63384	1.99
10.025	59155	1.86
10.030	61915	1.95
10.035	62764	1.97
10.040	60196	1.89
10.045	62950	1.98
10.050	59611	1.87
10.055	60710	1.91
10.060	61252	1.92
10.065	60169	1.89
10.070	62413	1.96
10.075	60897	1.91
10.080	61190	1.92
10.085	62710	1.97
10.090	59416	1.87
10.095	61200	1.92
10.100	61664	1.94
10.105	62852	1.98
10.110	62232	1.96
10.115	61905	1.95
10.120	66066	2.08
10.125	62604	1.97
10.130	59913	1.88
10.135	62348	1.96
10.140	59761	1.88
10.145	63362	1.99
10.150	64563	2.03
10.155	61045	1.92
10.160	63567	2.00
10.165	63000	1.98
10.170	61116	1.92
10.175	61752	1.94
10.180	60225	1.89
10.185	64922	2.04
10.190	66735	2.10
10.195	62720	1.97
10.200	61905	1.95
10.205	65298	2.05
10.210	65784	2.07
10.215	66843	2.10
10.220	64386	2.02
10.225	66150	2.08
10.230	64571	2.03
10.235	62918	1.98
10.240	62709	1.97
10.245	61793	1.94
10.250	62315	1.96
10.255	60855	1.91
10.260	60802	1.91
10.265	59581	1.87
10.270	63124	1.98
10.275	63329	1.99
10.280	61925	1.95
10.285	62764	1.97
10.290	61843	1.94
10.295	60157	1.89
10.300	62173	1.95
10.305	63981	2.01
10.310	60325	1.90
10.315	63047	1.98
10.320	61157	1.92
10.325	59007	1.85
10.330	59616	1.87
10.335	62295	1.96
10.340	59136	1.86
10.345	62659	1.97
10.350	61715	1.94
10.355	61349	1.93
10.360	56161	1.76
10.365	61018	1.92
10.370	60763	1.91
10.375	62433	1.96
10.380	63439	1.99
10.385	60318	1.90
10.390	63397	1.99
10.395	62180	1.95
10.400	60576	1.90
10.405	63605	2.00
10.410	61338	1.93
10.415	64104	2.01
10.420	62061	1.95
10.425	62318	1.96
10.430	64002	2.01
10.435	62611	1.97
10.440	63255	1.99
10.445	64713	2.03
10.450	61388	1.93
10.455	64429	2.02
10.460	62850	1.98
10.465	61789	1.94
10.470	62536	1.97
10.475	60069	1.89
10.480	64373	2.02
10.485	61664	1.94
10.490	60887	1.91
10.495	61963	1.95
10.500	64270	2.02
10.505	63015	1.98
10.510	61126	1.92
10.515	61461	1.93
10.520	61252	1.92
10.525	64651	2.03
10.530	62691	1.97
10.535	62292	1.96
10.540	62849	1.98
10.545	64384	2.02
10.550	62431	1.96
10.555	60756	1.91
10.560	60776	1.91
10.565	60878	1.91
10.570	59707	1.88
10.575	61634	1.94
10.580	56566	1.78
10.585	64677	2.03
10.590	61874	1.94
10.595	60047	1.89
10.600	59486	1.87
10.605	63295	1.99
10.610	63387	1.99
10.615	62039	1.95
10.620	60947	1.92
10.625	60234	1.89
10.630	61379	1.93
10.635	60884	1.91
10.640	61548	1.93
10.645	58739	1.85
10.650	63334	1.99
10.655	60809	1.91
10.660	60664	1.91
10.665	63824	2.01
10.670	60278	1.89
10.675	62444	1.96
10.680	61565	1.93
10.685	57506	1.81
10.690	64740	2.03
10.695	58349	1.83
10.700	59933	1.88
10.705	59201	1.86
10.710	59278	1.86
10.715	60411	1.90
10.720	59690	1.88
10.725	63925	2.01
10.730	61116	1.92
10.735	57422	1.80
10.740	62901	1.98
10.745	61173	1.92
10.750	57416	1.80
10.755	60746	1.91
10.760	58183	1.83
10.765	60258	1.89
10.770	59407	1.87
10.775	59366	1.87
10.780	61245	1.92
10.785	59397	1.87
10.790	61878	1.94
10.795	62090	1.95
10.800	60482	1.90
10.805	61847	1.94
10.810	64026	2.01
10.815	58358	1.83
10.820	61567	1.93
10.825	62768	1.97
10.830	58158	1.83
10.835	60013	1.89
10.840	60307	1.90
10.845	61144	1.92
10.850	56787	1.78
10.855	61869	1.94
10.860	61410	1.93
10.865	59407	1.87
10.870	62425	1.96
10.875	60192	1.89
10.880	59417	1.87
10.885	60577	1.90
10.890	56452	1.77
10.895	60127	1.89
10.900	60876	1.91
10.905	60727	1.91
10.910	61018	1.92
10.915	58919	1.85
10.920	63916	2.01
10.925	61136	1.92
10.930	61458	1.93
10.935	60179	1.89
10.940	62022	1.95
10.945	61618	1.94
10.950	60872	1.91
10.955	61298	1.93
10.960	62334	1.96
10.965	60013	1.89
10.970	62505	1.96
10.975	62768	1.97
10.980	59853	1.88
10.985	62443	1.96
10.990	61250	1.92
10.995	61045	1.92
11.000	63827	2.01
11.005	60689	1.91
11.010	62806	1.97
11.015	66188	2.08
11.020	60374	1.90
11.025	62640	1.97
11.030	60530	1.90
11.035	63272	1.99
11.040	61436	1.93
11.045	60039	1.89
11.050	62974	1.98
11.055	61820	1.94
11.060	62855	1.98
11.065	61472	1.93
11.070	64361	2.02
11.075	62967	1.98
11.080	65347	2.05
11.085	64348	2.02
11.090	65983	2.07
11.095	61812	1.94
11.100	61882	1.94
11.105	65215	2.05
11.110	62638	1.97
11.115	64543	2.03
11.120	65060	2.04
11.125	64756	2.04
11.130	66602	2.09
11.135	63709	2.00
11.140	66230	2.08
11.145	59988	1.89
11.150	62110	1.95
11.155	64120	2.02
11.160	62275	1.96
11.165	64164	2.02
11.170	65191	2.05
11.175	63757	2.00
11.180	66625	2.09
11.185	62219	1.96
11.190	59932	1.88
11.195	61223	1.92
11.200	60522	1.90
11.205	62127	1.95
11.210	64761	2.04
11.215	59950	1.88
11.220	64940	2.04
11.225	62336	1.96
11.230	63661	2.00
11.235	63670	2.00
11.240	58899	1.85
11.245	62508	1.96
11.250	61379	1.93
11.255	62714	1.97
11.260	64777	2.04
11.265	64055	2.01
11.270	62108	1.95
11.275	61312	1.93
11.280	60160	1.89
11.285	62240	1.96
11.290	59957	1.88
11.295	66195	2.08
11.300	63635	2.00
11.305	58949	1.85
11.310	59800	1.88
11.315	64303	2.02
11.320	64890	2.04
11.325	61474	1.93
11.330	63771	2.00
11.335	64171	2.02
11.340	63460	1.99
11.345	65167	2.05
11.350	64183	2.02
11.355	61350	1.93
11.360	63649	2.00
11.365	61489	1.93
11.370	61835	1.94
11.375	64315	2.02
11.380	59838	1.88
11.385	62632	1.97
11.390	61187	1.92
11.395	62033	1.95
11.400	62300	1.96
11.405	61948	1.95
11.410	64377	2.02
11.415	61532	1.93
11.420	61549	1.93
11.425	61670	1.94
11.430	61089	1.92
11.435	64701	2.03
11.440	64601	2.03
11.445	59569	1.87
11.450	64536	2.03
11.455	64225	2.02
11.460	62539	1.97
11.465	60603	1.90
11.470	59314	1.86
11.475	61831	1.94
11.480	62130	1.95
11.485	61623	1.94
11.490	62609	1.97
11.495	61117	1.92
11.500	57205	1.80
11.505	60405	1.90
11.510	63415	1.99
11.515	59840	1.88
11.520	59558	1.87
11.525	60093	1.89
11.530	60020	1.89
11.535	59764	1.88
11.540	60986	1.92
11.545	61972	1.95
11.550	63753	2.00
11.555	62838	1.97
11.560	61077	1.92
11.565	61512	1.93
11.570	60428	1.90
11.575	59681	1.88
11.580	63474	1.99
11.585	62008	1.95
11.590	61903	1.95
11.595	60332	1.90
11.600	61251	1.92
11.605	62163	1.95
11.610	64352	2.02
11.615	60889	1.91
11.620	63941	2.01
11.625	60819	1.91
11.630	61257	1.93
11.635	60550	1.90
11.640	60617	1.90
11.645	61409	1.93
11.650	62411	1.96
11.655	61205	1.92
11.660	61497	1.93
11.665	61437	1.93
11.670	64008	2.01
11.675	60770	1.91
11.680	60664	1.91
11.685	62560	1.97
11.690	62680	1.97
11.695	62306	1.96
11.700	63818	2.01
11.705	62319	1.96
11.710	64076	2.01
11.715	62423	1.96
11.720	62240	1.96
11.725	61550	1.93
11.730	63461	1.99
11.735	60580	1.90
11.740	61627	1.94
11.745	62338	1.96
11.750	61757	1.94
11.755	59575	1.87
11.760	63421	1.99
11.765	60552	1.90
11.770	61055	1.92
11.775	60923	1.91
11.780	61759	1.94
11.785	64001	2.01
11.790	62641	1.97
11.795	59941	1.88
11.800	63722	2.00
11.805	63954	2.01
11.810	59930	1.88
11.815	63766	2.00
11.820	64015	2.01
11.825	62666	1.97
11.830	58455	1.84
11.835	59822	1.88
11.840	62070	1.95
11.845	59591	1.87
11.850	61571	1.93
11.855	59768	1.88
11.860	60528	1.90
11.865	59881	1.88
11.870	62194	1.95
11.875	58733	1.85
11.880	60708	1.91
11.885	60037	1.89
11.890	61154	1.92
11.895	61635	1.94
11.900	59653	1.87
11.905	61190	1.92
11.910	60814	1.91
11.915	61199	1.92
11.920	59225	1.86
11.925	61503	1.93
11.930	61398	1.93
11.935	62261	1.96
11.940	60861	1.91
11.945	64014	2.01
11.950	60822	1.91
11.955	61151	1.92
11.960	60921	1.91
11.965	60531	1.90
11.970	61502	1.93
11.975	59712	1.88
11.980	60448	1.90
11.985	57707	1.81
11.990	60832	1.91
11.995	65058	2.04
12.000	58830	1.85
12.005	61101	1.92
12.010	61108	1.92
12.015	59102	1.86
12.020	65372	2.05
12.025	63920	2.01
12.030	68968	2.17
12.035	69527	2.18
12.040	72934	2.29
12.045	78657	2.47
12.050	83794	2.63
12.055	86102	2.71
12.060	94136	2.96
12.065	93448	2.94
12.070	96118	3.02
12.075	98029	3.08
12.080	97572	3.07
12.085	98212	3.09
12.090	95031	2.99
12.095	92354	2.90
12.100	93865	2.95
12.105	89951	2.83
12.110	85828	2.70
12.115	84326	2.65
12.120	83777	2.63
12.125	84340	2.65
12.130	75719	2.38
12.135	75896	2.39
12.140	78134	2.46
12.145	72982	2.29
12.150	76985	2.42
12.155	73935	2.32
12.160	72759	2.29
12.165	74077	2.33
12.170	73067	2.30
12.175	74448	2.34
12.180	73630	2.31
12.185	71970	2.26
12.190	71996	2.26
12.195	69826	2.19
12.200	71413	2.24
12.205	71758	2.26
12.210	71120	2.24
12.215	71850	2.26
12.220	69465	2.18
12.225	69149	2.17
12.230	71808	2.26
12.235	68862	2.16
12.240	67780	2.13
12.245	71209	2.24
12.250	69425	2.18
12.255	70981	2.23
12.260	73509	2.31
12.265	70810	2.23
12.270	67676	2.13
12.275	67238	2.11
12.280	65057	2.04
12.285	70547	2.22
12.290	71131	2.24
12.295	71055	2.23
12.300	65390	2.05
12.305	68303	2.15
12.310	64929	2.04
12.315	65954	2.07
12.320	66490	2.09
12.325	66769	2.10
12.330	65781	2.07
12.335	64819	2.04
12.340	65348	2.05
12.345	63576	2.00
12.350	64640	2.03
12.355	67211	2.11
12.360	65413	2.06
12.365	64409	2.02
12.370	64703	2.03
12.375	64308	2.02
12.380	63397	1.99
12.385	65711	2.07
12.390	63749	2.00
12.395	66140	2.08
12.400	65381	2.05
12.405	64165	2.02
12.410	66533	2.09
12.415	64977	2.04
12.420	65904	2.07
12.425	66357	2.09
12.430	62524	1.96
12.435	65737	2.07
12.440	65473	2.06
12.445	67500	2.12
12.450	66286	2.08
12.455	66314	2.08
12.460	70747	2.22
12.465	66717	2.10
12.470	69366	2.18
12.475	64916	2.04
12.480	65507	2.06
12.485	68505	2.15
12.490	65711	2.07
12.495	65337	2.05
12.500	67909	2.13
12.505	63243	1.99
12.510	66689	2.10
12.515	65820	2.07
12.520	64001	2.01
12.525	69005	2.17
12.530	63105	1.98
12.535	69003	2.17
12.540	65142	2.05
12.545	66554	2.09
12.550	67614	2.12
12.555	65421	2.06
12.560	65405	2.06
12.565	62673	1.97
12.570	63916	2.01
12.575	66356	2.09
12.580	63296	1.99
12.585	66068	2.08
12.590	60582	1.90
12.595	62477	1.96
12.600	63337	1.99
12.605	63670	2.00
12.610	63967	2.01
12.615	62223	1.96
12.620	65208	2.05
12.625	62853	1.98
12.630	57254	1.80
12.635	62923	1.98
12.640	64808	2.04
12.645	64460	2.03
12.650	64744	2.03
12.655	64515	2.03
12.660	62845	1.97
12.665	63532	2.00
12.670	63773	2.00
12.675	66355	2.09
12.680	64656	2.03
12.685	61521	1.93
12.690	63197	1.99
12.695	63589	2.00
12.700	64360	2.02
12.705	63364	1.99
12.710	61313	1.93
12.715	63484	2.00
12.720	60288	1.89
12.725	60325	1.90
12.730	64724	2.03
12.735	61954	1.95
12.740	62435	1.96
12.745	64850	2.04
12.750	63081	1.98
12.755	63964	2.01
12.760	67367	2.12
12.765	64508	2.03
12.770	63076	1.98
12.775	60861	1.91
12.780	65873	2.07
12.785	67451	2.12
12.790	63161	1.98
12.795	65723	2.07
12.800	63776	2.00
12.805	64315	2.02
12.810	64754	2.03
12.815	66362	2.09
12.820	64178	2.02
12.825	61876	1.94
12.830	61863	1.94
12.835	64690	2.03
12.840	60635	1.91
12.845	67563	2.12
12.850	63630	2.00
12.855	63743	2.00
12.860	64116	2.01
12.865	59884	1.88
12.870	66142	2.08
12.875	63947	2.01
12.880	60589	1.90
12.885	63457	1.99
12.890	61963	1.95
12.895	63164	1.99
12.900	62736	1.97
12.905	62598	1.97
12.910	64430	2.02
12.915	61898	1.95
12.920	64091	2.01
12.925	66146	2.08
12.930	63228	1.99
12.935	62373	1.96
12.940	64116	2.01
12.945	64020	2.01
12.950	64525	2.03
12.955	62128	1.95
12.960	63754	2.00
12.965	60078	1.89
12.970	63941	2.01
12.975	62468	1.96
12.980	63014	1.98
12.985	65267	2.05
12.990	62405	1.96
12.995	65710	2.07
13.000	63534	2.00
13.005	60507	1.90
13.010	62531	1.97
13.015	64218	2.02
13.020	62077	1.95
13.025	63894	2.01
13.030	61217	1.92
13.035	63274	1.99
13.040	63467	1.99
13.045	61925	1.95
13.050	63290	1.99
13.055	62737	1.97
13.060	60554	1.90
13.065	62539	1.97
13.070	60853	1.91
13.075	65585	2.06
13.080	62862	1.98
13.085	60058	1.89
13.090	62209	1.95
13.095	63290	1.99
13.100	63696	2.00
13.105	62531	1.97
13.110	62350	1.96
13.115	64365	2.02
13.120	63538	2.00
13.125	62836	1.97
13.130	59980	1.88
13.135	62570	1.97
13.140	62163	1.95
13.145	61704	1.94
13.150	61139	1.92
13.155	64466	2.03
13.160	63024	1.98
13.165	61544	1.93
13.170	62522	1.96
13.175	58941	1.85
13.180	63996	2.01
13.185	59393	1.87
13.190	59439	1.87
13.195	62385	1.96
13.200	60265	1.89
13.205	58737	1.85
13.210	62077	1.95
13.215	60707	1.91
13.220	61193	1.92
13.225	61709	1.94
13.230	63382	1.99
13.235	61711	1.94
13.240	60297	1.89
13.245	62848	1.98
13.250	59984	1.89
13.255	65322	2.05
13.260	63143	1.98
13.265	64512	2.03
13.270	61424	1.93
13.275	61460	1.93
13.280	64689	2.03
13.285	60940	1.92
13.290	62831	1.97
13.295	64085	2.01
13.300	60556	1.90
13.305	64594	2.03
13.310	61922	1.95
13.315	60023	1.89
13.320	62872	1.98
13.325	60043	1.89
13.330	65871	2.07
13.335	62708	1.97
13.340	61571	1.93
13.345	65468	2.06
13.350	60361	1.90
13.355	67872	2.13
13.360	60363	1.90
13.365	60595	1.90
13.370	61568	1.93
13.375	60482	1.90
13.380	59484	1.87
13.385	65428	2.06
13.390	61870	1.94
13.395	64757	2.04
13.400	64263	2.02
13.405	59598	1.87
13.410	59632	1.87
13.415	60377	1.90
13.420	62871	1.98
13.425	63210	1.99
13.430	59208	1.86
13.435	61611	1.94
13.440	61125	1.92
13.445	59603	1.87
13.450	59121	1.86
13.455	58552	1.84
13.460	61534	1.93
13.465	61850	1.94
13.470	61462	1.93
13.475	63046	1.98
13.480	57948	1.82
13.485	59653	1.87
13.490	62028	1.95
13.495	57878	1.82
13.500	61285	1.93
13.505	60700	1.91
13.510	59645	1.87
13.515	61436	1.93
13.520	58248	1.83
13.525	64798	2.04
13.530	60684	1.91
13.535	60927	1.91
13.540	63591	2.00
13.545	61552	1.93
13.550	61092	1.92
13.555	62070	1.95
13.560	60586	1.90
13.565	62804	1.97
13.570	60966	1.92
13.575	60313	1.90
13.580	60512	1.90
13.585	61453	1.93
13.590	59349	1.87
13.595	57734	1.81
13.600	56343	1.77
13.605	60140	1.89
13.610	58990	1.85
13.615	62199	1.95
13.620	60334	1.90
13.625	60191	1.89
13.630	59619	1.87
13.635	60479	1.90
13.640	60962	1.92
13.645	62229	1.96
13.650	58675	1.84
13.655	59445	1.87
13.660	63055	1.98
13.665	58482	1.84
13.670	59988	1.89
13.675	59090	1.86
13.680	60644	1.91
13.685	62387	1.96
13.690	60889	1.91
13.695	62783	1.97
13.700	57010	1.79
13.705	60621	1.91
13.710	60756	1.91
13.715	57920	1.82
13.720	61804	1.94
13.725	57545	1.81
13.730	58889	1.85
13.735	59957	1.88
13.740	60928	1.91
13.745	59631	1.87
13.750	62515	1.96
13.755	61177	1.92
13.760	62074	1.95
13.765	59796	1.88
13.770	62357	1.96
13.775	61676	1.94
13.780	56667	1.78
13.785	62105	1.95
13.790	60716	1.91
13.795	61078	1.92
13.800	60443	1.90
13.805	62252	1.96
13.810	61398	1.93
13.815	61504	1.93
13.820	60286	1.89
13.825	66651	2.09
13.830	65179	2.05
13.835	73632	2.31
13.840	81277	2.55
13.845	90786	2.85
13.850	108207	3.40
13.855	118289	3.72
13.860	134411	4.22
13.865	151311	4.76
13.870	172352	5.42
13.875	199090	6.26
13.880	223290	7.02
13.885	245952	7.73
13.890	272462	8.56
13.895	293577	9.23
13.900	315961	9.93
13.905	341177	10.72
13.910	378995	11.91
13.915	411539	12.93
13.920	447140	14.05
13.925	480531	15.10
13.930	510106	16.03
13.935	530424	16.67
13.940	565763	17.78
13.945	619692	19.47
13.950	647515	20.35
13.955	702282	22.07
13.960	726894	22.84
13.965	770312	24.21
13.970	816501	25.66
13.975	852665	26.80
13.980	899724	28.27
13.985	928847	29.19
13.990	987377	31.03
13.995	1041816	32.74
14.000	1081669	33.99
14.005	1124491	35.34
14.010	1156694	36.35
14.015	1218572	38.30
14.020	1316842	41.38
14.025	1342797	42.20
14.030	1375164	43.22
14.035	1418575	44.58
14.040	1479568	46.50
14.045	1572275	49.41
14.050	1621168	50.95
14.055	1666679	52.38
14.060	1736448	54.57
14.065	1766103	55.50
14.070	1849744	58.13
14.075	1977719	62.15
14.080	1995363	62.71
14.085	2028223	63.74
14.090	2075395	65.22
14.095	2195923	69.01
14.100	2296488	72.17
14.105	2385762	74.98
14.110	2419285	76.03
14.115	2499570	78.55
14.120	2562969	80.54
14.125	2677083	84.13
14.130	2710559	85.18
14.135	2639855	82.96
14.140	2753050	86.52
14.145	2938839	92.36
14.150	3123356	98.16
14.155	3053911	95.97
14.160	3182065	100.00
14.165	2476859	77.84
14.170	830057	26.09
14.175	298100	9.37
14.180	187954	5.91
14.185	159373	5.01
14.190	134553	4.23
14.195	124563	3.91
14.200	116203	3.65
14.205	110661	3.48
14.210	106171	3.34
14.215	99385	3.12
14.220	94211	2.96
14.225	94809	2.98
14.230	91927	2.89
14.235	93502	2.94
14.240	92539	2.91
14.245	96248	3.02
14.250	105590	3.32
14.255	102950	3.24
14.260	106963	3.36
14.265	104869	3.30
14.270	102063	3.21
14.275	102590	3.22
14.280	94303	2.96
14.285	97848	3.07
14.290	91001	2.86
14.295	90277	2.84
14.300	91888	2.89
14.305	94024	2.95
14.310	95833	3.01
14.315	98159	3.08
14.320	97396	3.06
14.325	96375	3.03
14.330	90479	2.84
14.335	91327	2.87
14.340	91641	2.88
14.345	85353	2.68
14.350	83757	2.63
14.355	85633	2.69
14.360	87780	2.76
14.365	90680	2.85
14.370	89658	2.82
14.375	96061	3.02
14.380	93527	2.94
14.385	91480	2.87
14.390	93312	2.93
14.395	91642	2.88
14.400	88770	2.79
14.405	87654	2.75
14.410	79289	2.49
14.415	78922	2.48
14.420	78419	2.46
14.425	77218	2.43
14.430	83842	2.63
14.435	84879	2.67
14.440	84239	2.65
14.445	92198	2.90
14.450	88653	2.79
14.455	90966	2.86
14.460	89679	2.82
14.465	86699	2.72
14.470	88115	2.77
14.475	82571	2.59
14.480	81644	2.57
14.485	75524	2.37
14.490	73972	2.32
14.495	75909	2.39
14.500	80657	2.53
14.505	84342	2.65
14.510	84555	2.66
14.515	81503	2.56
14.520	86127	2.71
14.525	83296	2.62
14.530	87623	2.75
14.535	85680	2.69
14.540	82394	2.59
14.545	82917	2.61
14.550	81253	2.55
14.555	79770	2.51
14.560	74727	2.35
14.565	75664	2.38
14.570	73953	2.32
14.575	79063	2.48
14.580	77012	2.42
14.585	80491	2.53
14.590	79751	2.51
14.595	82966	2.61
14.600	87396	2.75
14.605	84217	2.65
14.610	82396	2.59
14.615	82040	2.58
14.620	79186	2.49
14.625	80325	2.52
14.630	76481	2.40
14.635	74237	2.33
14.640	70716	2.22
14.645	72343	2.27
14.650	75122	2.36
14.655	79046	2.48
14.660	79188	2.49
14.665	80430	2.53
14.670	79804	2.51
14.675	80372	2.53
14.680	78719	2.47
14.685	78434	2.46
14.690	83378	2.62
14.695	79205	2.49
14.700	78086	2.45
14.705	77834	2.45
14.710	72074	2.27
14.715	72754	2.29
14.720	71304	2.24
14.725	74746	2.35
14.730	79163	2.49
14.735	76679	2.41
14.740	78654	2.47
14.745	77790	2.44
14.750	78652	2.47
14.755	79887	2.51
14.760	78303	2.46
14.765	77725	2.44
14.770	75141	2.36
14.775	75711	2.38
14.780	76378	2.40
14.785	70242	2.21
14.790	73279	2.30
14.795	72123	2.27
14.800	73088	2.30
14.805	73726	2.32
14.810	72213	2.27
14.815	74231	2.33
14.820	77653	2.44
14.825	78688	2.47
14.830	75290	2.37
14.835	80162	2.52
14.840	76802	2.41
14.845	78100	2.45
14.850	74862	2.35
14.855	73764	2.32
14.860	75694	2.38
14.865	73988	2.33
14.870	74686	2.35
14.875	72358	2.27
14.880	72321	2.27
14.885	73112	2.30
14.890	72725	2.29
14.895	72833	2.29
14.900	74839	2.35
14.905	74194	2.33
14.910	76666	2.41
14.915	75511	2.37
14.920	76006	2.39
14.925	79493	2.50
14.930	74700	2.35
14.935	74676	2.35
14.940	76906	2.42
14.945	73039	2.30
14.950	72558	2.28
14.955	72549	2.28
14.960	74486	2.34
14.965	71872	2.26
14.970	72950	2.29
14.975	73197	2.30
14.980	72898	2.29
14.985	73739	2.32
14.990	74173	2.33
14.995	71964	2.26
15.000	73093	2.30
15.005	73470	2.31
15.010	73115	2.30
15.015	74605	2.34
15.020	72889	2.29
15.025	75776	2.38
15.030	72821	2.29
15.035	73052	2.30
15.040	72054	2.26
15.045	70249	2.21
15.050	73988	2.33
15.055	68076	2.14
15.060	74899	2.35
15.065	72385	2.27
15.070	71541	2.25
15.075	73745	2.32
15.080	76518	2.40
15.085	71934	2.26
15.090	70422	2.21
15.095	71675	2.25
15.100	69642	2.19
15.105	75329	2.37
15.110	68942	2.17
15.115	72336	2.27
15.120	71299	2.24
15.125	71389	2.24
15.130	70810	2.23
15.135	72288	2.27
15.140	70796	2.22
15.145	68030	2.14
15.150	72901	2.29
15.155	70087	2.20
15.160	70426	2.21
15.165	68316	2.15
15.170	68816	2.16
15.175	72595	2.28
15.180	73348	2.31
15.185	69785	2.19
15.190	74597	2.34
15.195	70898	2.23
15.200	68429	2.15
15.205	74486	2.34
15.210	71516	2.25
15.215	72078	2.27
15.220	72578	2.28
15.225	70442	2.21
15.230	74718	2.35
15.235	68534	2.15
15.240	68873	2.16
15.245	75770	2.38
15.250	71639	2.25
15.255	71716	2.25
15.260	71995	2.26
15.265	74322	2.34
15.270	69773	2.19
15.275	69811	2.19
15.280	71524	2.25
15.285	70329	2.21
15.290	68660	2.16
15.295	71634	2.25
15.300	71250	2.24
15.305	68369	2.15
15.310	71107	2.23
15.315	72681	2.28
15.320	71388	2.24
15.325	72041	2.26
15.330	68189	2.14
